nazwa
ACICLOVIR HIKMA
ACICLOVIR JELFA
ACICLOVIR NORIDEM
ACICLOVIR POLPHARMA
ACICLOVIR ZIAJA
ACICLOVIRUM
ACICLOVIRUM + HYDROCORTISONUM
ACIDUM 5-AMINOLEVULINICUM HYDROCHLORIDUM
ACIDUM ACETYLSALICYLICUM
ACIDUM ACETYLSALICYLICUM + ACIDUM ASCORBICUM
ACIDUM ACETYLSALICYLICUM + ACIDUM ASCORBICUM + CALCIUM
ACIDUM ACETYLSALICYLICUM + ACIDUM ASCORBICUM + COFFEINUM
ACIDUM ACETYLSALICYLICUM + COFFEINUM
ACIDUM ACETYLSALICYLICUM + ETHENZAMIDUM + COFFEINUM
ACIDUM ACETYLSALICYLICUM + ETHYLSALICYLAMIDUM + COFFEINUM
ACIDUM ACETYLSALICYLICUM + GLYCINUM
ACIDUM ACETYLSALICYLICUM + MAGNESII OXIDUM
ACIDUM ACETYLSALICYLICUM + PARACETAMOLUM + COFFEINUM
ACIDUM ACETYLSALICYLICUM + PHENYLEPHRINI BITARTRAS + CHLORPHENAMINI MALEAS
ACIDUM ACETYLSALICYLICUM + PSEUDOEPHEDRINI HYDROCHLORIDUM
ACIDUM ALENDRONICUM
ACIDUM ALENDRONICUM + CHOLECALCIFEROLUM
ACIDUM AMINOLEVULINICUM
ACIDUM ASCORBICUM
ACIDUM ASCORBICUM + CHLORHEXIDINI DIHYDROCHLORIDUM
ACIDUM ASCORBICUM + RUTOSIDUM + SALICYLAMIDUM
ACIDUM ASCORBICUM + RUTOSIDUM TRIHYDRICUM
ACIDUM ASCORBICUM + TOCOPHEROLI ACETAS
ACIDUM ASCORBICUM AGA KOMMERZ
ACIDUM ASCORBICUM DELFARMA
ACIDUM AZELAICUM
ACIDUM BEMPEDOICUM
ACIDUM BEMPEDOICUM + EZETIMIBUM
ACIDUM BORICUM
ACIDUM BORICUM + ACIDUM SALICYLICUM
ACIDUM CARGLUMICUM
ACIDUM CHENODEOXYCHOLICUM
ACIDUM CHOLICUM
ACIDUM CLODRONICUM
ACIDUM DEHYDROCHOLICUM
ACIDUM DEOXYCHOLICUM
ACIDUM FOLICUM
ACIDUM FOLICUM HASCO
ACIDUM FOLICUM HYDRICUM
ACIDUM FOLICUM RICHTER
ACIDUM FOLINICUM
ACIDUM FORMICUM
ACIDUM FUSIDICUM
ACIDUM FUSIDICUM + BETAMETHASONUM
ACIDUM FUSIDICUM + BETHAMETHASONI VALERAS
ACIDUM FUSIDICUM + HYDROCORTISONI ACETAS
ACIDUM FUSIDICUM HEMIHYDRICUM
"ACIDUM FUSIDICUM, BETAMETHASONI VALERAS"
ACIDUM GADOTERICUM
ACIDUM IBANDRONICUM
ACIDUM LACTICUM + ACIDUM SALICYLICUM
ACIDUM LEVOFOLINICUM
ACIDUM MYCOPHENOLICUM
ACIDUM OXALICUM
ACIDUM OXALICUM DIHYDRICUM
ACIDUM P-AMINOSALICYLICUM
ACIDUM SALICYLICUM
ACIDUM SALICYLICUM + ACIDUM (S)-LACTICUM
ACIDUM SALICYLICUM + ACIDUM LACTICUM
ACIDUM SALICYLICUM + FLUMETASONUM
ACIDUM SALICYLICUM + FLUOROURACILUM
ACIDUM SALICYLICUM + LEVOMENTHOLUM + THYMOLUM
ACIDUM SALICYLICUM + RICINI OLEUM VIRGINALE
ACIDUM TAUROSELCHOLICUM (75 SE)
ACIDUM THIOCTICUM
ACIDUM TOLFENAMICUM
ACIDUM TRANEXAMICUM
ACIDUM UNDECYLENICUM + ZINCI UNDECYLENAS
ACIDUM URSODEOXYCHOLICUM
ACIDUM VALPROICUM
ACIDUM ZOLEDRONICUM
ACIPREX
ACITREN
ACITRETINUM
ACIX 500
ACLASTA
ACLEXA
ACLIDINIUM + FORMOTEROLI FUMARAS
ACLIDINIUM BROMIDE
ACLOTIN
ACNATAC
ACNELEC
ACODIN
ACODIN 150 JUNIOR
ACODIN DUO
ACONITUM NAPELLUS
ACOPAIR
ACORAMIDISUM
ACT-HIB
ACTAEA RACEMOSA
ACTAIR
ACTELSAR
ACTELSAR HCT
ACTI-TRIN
ACTIFED
ACTIGRA
ACTIGRA FORTE
ACTIKERALL
ACTILYSE 10
ACTILYSE 20
ACTILYSE 50
ACTIMODAN
ACTIONIS
ACTISEPT MED
ACTIVELLE
ACTOS
ACTRAPHANE 30
ACTRAPHANE 30 FLEXPEN
ACTRAPHANE 30 INNOLET
ACTRAPHANE 30 PENFILL
ACTRAPHANE 40 PENFILL
ACTRAPHANE 50 PENFILL
ACTRAPID
ACTRAPID FLEXPEN
ACTRAPID INNOLET
ACTRAPID PENFILL
ACTUSEPT
ACURENAL
ACVYBRA
ACYCLOVIR BIOFARM
ACYKLOWIR PROMEDO
ADABLIX
ADABLOK
ADABONIB
ADACEL
ADACEL POLIO
ADADOX
ADADUT
ADAGRASIBUM
ADAKVEO
ADALAIN
ADALIFT
ADALIMUMABUM
ADAPALENUM
ADAPALENUM + BENZOYLIS PEROXIDUM
ADARING
ADAROSTIN
ADARTREL
ADASTER
ADASUVE
ADATAM
ADATAM DUO
ADATAM XR
ADAXIO
ADCETRIS
ADCIRCA
ADDAMEL N
ADDIMAG
ADDIPHOS
ADEHADER
ADEKSA
ADEMPAS
ADENIPRAVAC-ND/IB
ADENOCOR
ADENOSINE KABI
ADENOSINUM
ADENOSINUM DELFARMA
ADENOSINUM INPHARM
ADENURIC
ADEPEND
ADEROLIO
ADIFEMU
ADIMUPLAN
ADIN
ADIPINE
ADJUPANRIX
ADNAMIL
ADOBEN
ADPROCTIN
ADRENALINA AGUETTANT
ADRENALINA NORIDEM
ADRENALINA WZF
"ADRENALINA WZF 0,1%"
ADRENALINUM
ADRIBLASTINA PFS
ADRIMAX
ADROVANCE
ADTAB
ADTRALZA
ADVAGRAF
ADVANTAGE 40 MG ROZTWÓR DO NAKRAPIANIA DLA KOTÓW
ADVANTAGE 80 MG ROZTWÓR DO NAKRAPIANIA DLA KOTÓW
ADVANTAN
ADVANTIX 100 MG + 500 MG ROZTWÓR DO NAKRAPIANIA DLA PSÓW
ADVANTIX 250 MG + 1250 MG ROZTWÓR DO NAKRAPIANIA DLA PSÓW
ADVANTIX 40 MG + 200 MG ROZTWÓR DO NAKRAPIANIA DLA PSÓW
ADVANTIX 400 MG + 2000 MG ROZTWÓR DO NAKRAPIANIA DLA PSÓW
ADVATE
ADVOCATE
ADVOCIN 180
ADYNOVI
ADZYNMA
AERINAZE
AERIUS
AEROX
AERRANE
AESCIN
AESCULAN
AESCULAN ŻEL
AESCULUS HIPPOCASTANUM
"AETHOXYSKLEROL 0,5%"
AETHOXYSKLEROL 1%
AETHOXYSKLEROL 1% F
AETHOXYSKLEROL 2%
AETHOXYSKLEROL 3%
AETHUSA CYNAPIUM
AETHYLUM CHLORATUM FILOFARM
AFAMELANOTIDUM
AFASTURAL
AFATINIBUM
AFENIX
AFICAMTEN
AFINITOR
AFIVEG
AFLEGAN
AFLIBERCEPTUM
AFLODERM
AFLUNOV
AFOBAM
AFOXOLANER
AFOXOLANERUM
AFOXOLANERUM + MILBEMYCINI OXIME
AFQLIR
AFRIN ND
AFRIN ND GLICEROL
AFRIN ND MENTOL
AFRONIS
AFSTYLA
AGALSIDASUM
AGALSIDASUM BETA
AGAMREE
AGAPURIN
AGAPURIN SR 400
AGAPURIN SR 600
AGARICUS MUSCARIUS
AGASTIN 20 MG
AGEN 10
AGEN 5
AGILUS
AGLAN
AGLAN 15
AGLEPRISTON
AGNI CASTI FRUCTUS EXTRACTUM SICCUM
AGNIS
AGNUS CASTUS
AGNUS CASTUS + CAULOPHYLLUM THALICTROIDES + CYCLAMEN D4 + IGNATIA D6 + IRIS D2 + LILIUM TIGRINUM D3
AGOLEK
AGOMELATINE +PHARMA
AGOMELATINE ADAMED
AGOMELATINE G.L. PHARMA
AGOMELATINUM
AGOMELATYNA EGIS
AGRAPHIS NUTANS
AGREGEX
AGRIMONIAE HERBA
AGROCIA
AGROPYRI RHIZOMA
AGRYPIN
AHZANTIVE
AIDEE
AILANTHUS GLANDULOSA
AIMOVIG
AIRBUFO FORSPIRO
AIRFLUSAL
AIRFLUSAL FORSPIRO
AIRIAM
AIVLOSIN
AJOVY
AKANTIOR
AKEEGA
AKINETON
AKINETON SR 4 MG
AKIS
AKISTAN
AKISTAN DUO
AKLIEF
AKNEMYCIN
AKNEMYCIN PLUS
AKNENORMIN 10 MG
AKNENORMIN 20 MG
AKNEROXID 10
AKNEROXID 5
AKORTOR
AKSODERM
AKSODERM FORTE
AKVIR
AKVIR FORTE O SMAKU MALINOWYM
AKVIR FORTE O SMAKU TRUSKAWKOWYM
AKVIR O SMAKU MALINOWYM
AKVIR O SMAKU TRUSKAWKOWYM
AKYNZEO
AKYRIS
ALACARE
ALANTAN
ALANTAN-PLUS
ALANTAVIT
ALATIC
ALAX
ALBALIVA
ALBENDAZOLUM
ALBENDIS
ALBEX GOLD
ALBICANSAN D5
ALBIOMIN 20%
ALBIOTIC
ALBIPEN LA
ALBOTHYL
"ALBUMINA LUDZKA, MAKROAGREGATY"
ALBUMINA OSOCZA LUDZKIEGO W POSTACI NANOKOLOIDU
ALBUMINI HUMANI
ALBUMINI HUMANI SOLUTIO
ALBUMINUM HUMANUM
ALBUNORM 20%
ALBUNORM 5%
ALBUREX 20
ALBUREX 5
ALBUTEIN 200 G/L
ALBUTEIN 50 G/L
ALBUTREPENONACOGUM ALFA
ALCAINE
ALCETYR
ALCHEMILLAE HERBA
ALCHINAL
ALCLOMETASONI DIPROPIONAS
"ALCOHOL 2,4-DICHLOROBENZYLICUS + AMYLMETACRESOLUM"
"ALCOHOL 2,4-DICHLOROBENZYLICUS + AMYLMETACRESOLUM + LEVOMENTHOLUM"
ALCOHOL DICHLOROBENZYLICUS + AMYLMETACRESOLUM + MENTHOLUM
ALCOHOL ETHYLICUS + ALCOHOL BENZYLICUS + ALCOHOL ISOPROPYLICUS
ALCOHOL ISOPROPYLICUS + BENZALKONII CHLORIDUM + ACIDUM UNDECYLENICUM
ALCOHOL ISOPROPYLICUS + CHLORHEXIDINI DIGLUCONAS + HYDROGENII PEROXIDUM
ALCOHOL ISOPROPYLICUS + POVIDONUM IODINATUM
ALCORT
ALDACTONE
ALDAN
ALDAN COMBO
ALDARA
ALDURAZYME
ALECENSA
ALECTINIBUM
ALEMTUZUMABUM
ALENDROGEN
ALENDRONAT BLUEFISH
ALEPTON
ALERDES
ALERGENY PYŁKÓW DRZEW
ALERGENY PYŁKÓW TRAW
ALERGIMED
ALERGOIDY PYŁKÓW ROŚLIN
ALERGOTEVA
ALERIC DESLO ACTIVE
ALERIC DESLO PRO
ALERIC LORA
ALERIC SPRAY
ALERIC ŻEL
ALERMED
ALERZINA
ALEVE
ALEXAN
ALFA-1-PROTEINASI INHIBITOR HUMANUS
ALFABAX
ALFACALCIDOLUM
ALFADEXX
ALFADIOL
ALFAGLANDIN C
ALFAPROSTOLUM
ALFAXALONUM
ALFAXAN MULTIDOSE
ALFURION
ALFUZOSINI HYDROCHLORIDUM
ALFUZOSTAD 10 MG
ALGENAMIC
ALGLUCOSIDASUM ALFA
ALHEMO
ALIFLUSIN
ALIKVAL
ALIKVAL DUO
ALIMTA
ALIROCUMABUM
ALISKIRENUM
ALITRETINOINUM
ALIZIN 30 MG/ML ROZTWÓR DO WSTRZYKIWAŃ
ALKA-SELTZER
ALKERAN
ALKINDI
ALLANTOINUM
ALLANTOINUM + CHOLECALCIFEROLUM + RETINOLUM
ALLANTOINUM + DEXPANTHENOLUM
ALLEFIN
ALLEFIN ALLERGY
ALLEGRA
ALLEGRA TELFAST 180
ALLEMAX
ALLERDUO
ALLERGO-COMOD
ALLERGOCROM
ALLERGODIL
ALLERGODIL SPRINT
ALLERGOVIT
ALLERTEC
ALLERTEC EFFECT
ALLERTEC FEXO
ALLERTEC FOXILL
ALLERTEC KIDS
ALLERTEC WZF
ALLESTIN
ALLI
ALLII CEPAE EXTRACTUM
ALLII CEPAE EXTRACTUM FLUIDUM + ALLII SATIVI EXTRACTUM
ALLII SATIVI BULBI EXTRACTUM SICCUM + ECHINACEAE PURPUREAE HERBAE EXTRACTUM SICCUM
ALLII SATIVI BULBUS
ALLII SATIVI BULBUS + URTICAE FOLIUM
ALLIOFIL
ALLIOMINT
ALLIUM CEPA
ALLOGENICZNE KOŃSKIE MEZENCHYMALNE KOMÓRKI MACIERZYSTE UZYSKANE Z KRWI OBWODOWEJ INDUKOWANE CHONDROGENNIE
ALLOPURINOL AUROVITAS
ALLOPURINOL MEDREG
ALLOPURINOLUM
ALLOSPES
ALLUPOL
ALLUZIENCE
ALMOTRIPTANI MALEAS
ALMOTRIPTANUM
ALMOZEN
ALNETA
ALOCUTAN
ALOCUTAN FORTE
ALOE
ALOE ARBORESCENTIS FOLII RECENTIS EXTRACTUM
ALOE CAPENSIS + FRANGULAE CORTICIS EXTRACTUM SICCUM
ALOE EXTRACTUM SICCUM + FUMARIAE HERBAE EXTRACTUM SICCUM + BOLDINUM
ALOE EXTRACTUM SICCUM NORMATUM + BOLDINUM
ALOES ARBORESCENTIS RECENTIS EXTRACTUM FLUIDUM + ACIDUM ASCORBICUM
ALOFISEL
ALOGLIPTINUM
ALOGLIPTINUM + PIOGLITAZONUM
ALOPEXY
ALORTIA
ALOTENDIN
ALOXI
ALPELISIBUM
ALPHADOXAN
ALPHAFLOROSOL
ALPHAFLOROVET
ALPHAFLUBEN
ALPHAGAN
ALPHALBEN
ALPICORT
ALPICORT E
ALPRAGEN
ALPRAMIL
ALPRAXIL
ALPRAZOLAM AUROVITAS
ALPRAZOLAM GRINDEKS
ALPRAZOLAMUM
ALPROLIX
ALPROSTADILUM
ALPROX
ALTABACTIN
ALTACET
ALTARIA
ALTAZIAJA
ALTAŻEL OCEANIC
ALTE FORTE Z MIODEM
ALTEPLASUM
ALTHAEAE RADICIS MACERATIO
ALTHAEAE RADIX
ALTHAEAE RADIX + PLANTAGINIS LANCEOLATAE FOLIUM + TILIAE FLOS
ALTHAEAE SIRUPUS
ALTHYXIN
ALTI-SIR
ALTIDOX
ALTRENOGESTUM
ALTRESYN
ALTUVOCT
ALUDRAN
ALUGASTRIN
ALUMINA
ALUMINII ACETOTARTRAS
ALUMINII CHLORIDUM
ALUMINII HYDROXIDUM + MAGNESII HYDROXIDUM
ALUMINII HYDROXIDUM + MAGNESII HYDROXIDUM + SIMETICONUM
ALUMINII OXIDUM HYDRICUM + MAGNESII HYDROXIDUM
ALUMINII PHOSPHAS
ALUMINII SUBACETATIS SOLUTIO
ALUNBRIG
ALURAZEN
ALUTARD SQ
ALVENTA
ALVERIN
ALVERINI CITRAS
ALVERINI CITRAS + SIMETICONUM
ALVESCO 160
ALVESCO 80
ALVIA ZAPARCIA
ALYFTREK
ALYMSYS
ALYOSTAL
"ALZANE 5 MG/ ML, ROZTWÓR DO WSTRZYKIWAŃ DLA PSÓW I KOTÓW"
AMANTADINI HYDROCHLORIDUM
AMANTADINI SULFAS
AMANTIX
AMARA TINCTURA
AMARYL 1
AMARYL 2
AMARYL 3
AMARYL 4
AMATIB
AMBAZONUM MONOHYDRICUM
AMBIRIX
AMBISOME LIPOSOMAL
AMBRA GRISEA
AMBRISENTAN ACCORD
AMBRISENTAN AOP
AMBRISENTAN VIATRIS
AMBRISENTANUM
AMBROKSOL APTEO MED
AMBROKSOL HASCO
AMBROKSOL HASCO JUNIOR
AMBROKSOL HASCO MAX
AMBROKSOL ORIFARM
AMBROLYTIN MAX
AMBROSAN
AMBROSIA ARTEMISIAEFOLIA
AMBROSOL TEVA
AMBROXOL AFLOFARM
AMBROXOL DR.MAX
AMBROXOLI HYDROCHLORIDUM
AMBROXOLI HYDROCHLORIDUM FONTANE
AMCOFEN
AMELUZ
AMERTIL
AMERTIL BIO
AMFLEE
AMFLEE COMBO
AMGEVITA
AMGLIDIA
AMIDIL AMIHALER
AMIDIL COMBO AMIHALER
AMIFAMPRIDINE SERB
AMIFAMPRIDINUM
AMIKACIN ADAMED
AMIKACIN B.BRAUN
AMIKACIN KABI
AMIKACINI SULFAS
AMIKACINUM
AMILORIDI HYDROCHLORIDUM + HYDROCHLOROTHIAZIDUM
AMINOFLUORIDUM
AMINOFLUORIDUM + NATRII FLUORIDUM
AMINOKWASY
AMINOMEL 10 E
"AMINOMEL 12,5 E"
AMINOMEL NEPHRO
AMINOMIX 1 NOVUM
AMINOPLASMAL 15%
AMINOPLASMAL B. BRAUN 10%
AMINOPLASMAL B. BRAUN 10% E
AMINOPLASMAL HEPA 10%
AMINOPLASMAL PAED 10%
AMINOSTERIL N-HEPA 8%
AMINOVEN INFANT 10%
AMIODARON ACCORD
AMIODARON HAMELN
AMIODARONI HYDROCHLORIDUM
AMIODARONUM
AMIOKORDIN
AMIPRYD
AMISAN
AMISULPRIDUM
AMISULPRYD HOLSTEN
AMITRAZUM
AMITRIPTYLINI HYDROCHLORIDUM
AMITRIPTYLINUM VP
AMIVANTAMABUM
AMIZEPIN
AMLATOR
AMLESSA
AMLESSINI
AMLODIPINE + VALSARTAN + HYDROCHLOROTHIAZIDE POLPHARMA
AMLODIPINE + VALSARTAN+ HYDROCHLOROTHIAZIDE POLPHARMA
AMLODIPINE BLUEFISH
AMLODIPINE FAIR-MED
AMLODIPINE MEDREG
AMLODIPINE VITABALANS
AMLODIPINE/VALSARTAN MYLAN
AMLODIPINI BESILAS
AMLODIPINI BESILAS + VALSARTANUM
AMLODIPINI BESILAS + VALSARTANUM + HYDROCHLOROTHIAZIDUM
AMLODIPINUM
AMLODIPINUM + VALSARTANUM
AMLODIPINUM + VALSARTANUM + HYDROCHLOROTHIAZIDUM
AMLOMYL
AMLONOR
AMLOPIN 10 MG
AMLOPIN 5 MG
AMLOZEK
AMMONAPS
AMMONII BITUMINOSULFONATIS UNGUENTUM
AMMONII CHLORIDUM + KALII GUAIACOLOSULFONAS
AMMONIUM CARBONICUM
AMMONIUM MURIATICUM
AMO-SHOT L.A.
AMOCLAN
AMODIP
AMOKSIKLAV
AMOKSIKLAV ES
AMOKSIKLAV QUICKTAB 1000 MG
AMOKSIKLAV QUICKTAB 625 MG
AMOKSYCYLINA GLOBAL VET HEALTH
AMOKSYCYLINA VET PLANET
AMOL
AMOLISA HCT
AMOROLAK
AMOROLFINUM
AMOTAKS
AMOTAKS DIS
AMOXIBACTIN VET
AMOXICICLINI TRIHYDRICUM + ACIDUM CLAVULANICUM
AMOXICILLIN + CLAVULANIC ACID APTAPHARMA
AMOXICILLIN + CLAVULANIC ACID AUROVITAS
AMOXICILLIN AUROVITAS
AMOXICILLIN MIP PHARMA
AMOXICILLIN TRIHYDRATE
AMOXICILLIN/CLAVULANIC ACID KABI
AMOXICILLINUM
AMOXICILLINUM + ACIDUM CLAVULANICUM
AMOXICILLINUM + ACIDUM CLAVULANICUM + PREDNISOLONUM
AMOXICILLINUM 100 BIOFAKTOR
AMOXICILLINUM 800 BIOFAKTOR
AMOXICILLINUM TRIHYDRICUM
AMOXICILLINUM TRIHYDRICUM + ACIDUM CLAVULANICUM
AMOXICILLINUM TRIHYDRICUM + COLISTINI SULFAS
AMOXICILLINUM TRIHYDRICUM + GENTAMYCINUM
AMOXICILLINUM TRIHYDRICUM + KALII CLAVULANAS
AMOXID
AMOXIL
AMOXY ACTIVE
AMOXY ACTIVE CTD
AMOXY-KEL
AMOXYCYLINA 20% LA
AMOXYGAL
AMPHEN
AMPHOTERICINUM B
AMPHOTERICINUM B LIPOSOMALNA TILLOMED
AMPICILIN+SULBACTAM APTAPHARMA
AMPICILINUM + SULBACTAMUM
AMPICILLIN ADAMED
AMPICILLIN SULBACTAM DELFARMA
AMPICILLIN SULBACTAM INPHARM
AMPICILLIN SULBACTAM TZF
AMPICILLIN TZF
AMPICILLIN/SULBACTAM BAUSCH HEALTH
AMPICILLINUM
AMPICILLINUM + CLOXACILLINUM
AMPICILLINUM + SULBACTAMUM
AMPICILLINUM ANHYDRICUM
AMPICILLINUM NATRICUM + CLOXACILLINUM NATRICUM
AMPICILLINUM NATRICUM + NEOMYCINI SULFAS
AMPICILLINUM TRIHYDRICUM + CLOXACILLINUM BENZATHINUM
AMPICILLINUM TRIHYDRICUM + CLOXACILLINUM NATRICUM
"AMPICLOX L.C., (75 MG + 200 MG)/ 3 G ZAWIESINA DOWYMIENIOWA DLA BYDŁA"
AMPITAR
AMPRES
AMPRIL 10 MG TABLETKI
"AMPRIL 2,5 MG TABLETKI"
AMPRIL 5 MG TABLETKI
AMPRIL HD
AMPRIL HL
AMPROLII HYDROCHLORIDUM
AMPROLINE
AMPROLIUM
AMPROLIUM HYDROCHLORIDE
AMSPARITY
AMVERSIO
AMVUTTRA
AMYLAN
AMYLAN ES
"AMYLMETACRESOLUM + ALCOHOL 2,4-DICHLOROBENZYLICUS"
AMYVID
ANACARD MEDICA PROTECT
ANACARD PROTECT
ANACARDIUM ORIENTALE
ANAESTAMINE
ANAFRANIL
ANAFRANIL SR 75
ANAGALLIS ARVENSIS
ANAGRELID AUROVITAS
ANAGRELID NORDIC
ANAGRELIDE ACCORD
ANAGRELIDE BLUEFISH
ANAGRELIDE GLENMARK
ANAGRELIDE SANDOZ
ANAGRELIDE STADA
ANAGRELIDE VIATRIS
ANAGRELIDE VIPHARM
ANAGRELIDUM
ANAKINRUM
ANAPRAN
ANAPRAN EC
ANASTROZOL BLUEFISH
ANASTROZOL TEVA
ANASTROZOLE EUGIA
ANASTROZOLUM
ANBINEX
ANCESOL
ANCOTIL
ANDEMBRY
ANDEPIN
ANDEXANETUM ALFA
ANDROCUR
ANDROSTATIN
ANDROSTER
ANDROTOP
ANESDERM
ANESTELOC
ANESTELOC 40 MG
ANESTELOC MAX
ANGELIQ
ANGIN - HEEL SD
ANGIOTENSINAMIDUM
ANGUSTA
ANICLINDAN
ANICLOX
ANIDULAFUNGIN FRESENIUS KABI
ANIDULAFUNGIN SANDOZ
ANIDULAFUNGINA ACCORD
ANIDULAFUNGINUM
ANIFROLUMABUM
ANIMEDAZON SPRAY
ANIMELOXAN
ANIPRACIT
ANIPRAZOL
ANISI FRUCTUS
ANKTIVA
ANNEXXO
ANOPYRIN
ANORO ELLIPTA
ANOSIN
ANSIFORA
ANSIFORA DUO
ANTAZOLINI HYDROCHLORIDUM + TETRYZOLINI HYDROCHLORIDUM
ANTAZOLINI MESILAS
ANTHELMIN
ANTICOL
ANTIDOL 15
ANTIDRAL
ANTIMONIUM ARSENICOSUM
ANTIMONIUM CRUDUM
ANTIMONIUM TARTARICUM
ANTINERVINUM
ANTIPAREN N
ANTIPROST
"ANTISEDAN 5 MG/ 1 ML, ROZTWÓR DO WSTRZYKIWAŃ DLA PSÓW I KOTÓW"
ANTITHROMBIN III NF TAKEDA
ANTITHROMBINUM III HUMANUM DENSATUM
ANTIVERM
ANTURIN
ANTYGEN PODJEDNOSTKOWY CIRKOWIRUSA ŚWIŃ
ANTYGEN PODJEDNOSTKOWY CIRKOWIRUSA ŚWIŃ TYP 2 ORF2:
ANTYGENY HERPESWIRUSA PSÓW (SZCZEP F205)
ANTYGENY POCHODZĄCE Z MYCOBACTERIUM TUBERCULOSIS
ANTYGRYPIN
ANTYGRYPIN COMPLEX
ANTYPOT
ANTYTOKSYNA BOTULINOWA A B E
ANTYTOKSYNA JADU ŻMIJ
ANVILDIS
ANVILDIS DUO
ANZORIN
ANZUPGO
APALUTAMIDUM
APAP
APAP 325 MG
APAP BÓL I GORĄCZKA
APAP BÓL I GORĄCZKA C PLUS
APAP CAPS
APAP DIRECT
APAP DIRECT MAX
APAP DLA DZIECI FORTE
APAP DLA DZIECI FORTE SMAK MALINOWY
APAP EXTRA
APAP INTENSE
APAP JUNIOR
APAP MIGRENA
APAP NBG
APAP NOC
APAP PRZEZIĘBIENIE
APAP PRZEZIĘBIENIE CAPS
APAP PRZEZIĘBIENIE JUNIOR
APAP PRZEZIĘBIENIE MAX
APARXON PR
APEALEA
APELKA
APENAL
APERISAN
APETIHERB
APEXELSIN
APHTIN
APHTIN AFLOFARM
API LIFE VAR
API-BIOXAL
APIDRA
APIDRA SOLOSTAR
APIGUARD
APIGUARD MULTIDOSE
APINOPTIM
APIOLIN
APIPRAX
APIPULMOL
APIS MELLIFICA
APISTRIP
APITUSSIC
APIVAR
APIWAROL
APIXABAN ACCORD
APIXABAN ADAMED
APIXABAN AUROVITAS
APIXABAN CIPLA
APIXABAN GEDEON RICHTER
APIXABAN MEDICAL VALLEY
